City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,San Policarpo,PH,83.44,broken clouds,12.1791,125.5072,Agapita M. Nicart
1,Rikitea,PF,77.76,clear sky,-23.1203,-134.9692,People ThankYou
7,Kismayo,SO,82.11,overcast clouds,-0.3582,42.5454,Agan-Hotel
8,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Hilo,US,79.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Hithadhoo,MV,82.74,scattered clouds,-0.6,73.0833,Scoop Guest House
30,Banes,CU,75.88,scattered clouds,20.9625,-75.7186,Hostal Iván y yailet
33,Atuona,PF,78.91,light rain,-9.8,-139.0333,Villa Enata
44,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Puerto Ayora,EC,75.38,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Kandrian,PG,84.43,light rain,-6.2167,149.55,Kandrian Station
60,Kavieng,PG,83.93,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
66,Bambous Virieux,MU,77.25,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
78,Mahebourg,MU,77.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Marabba,SD,84.76,overcast clouds,12.35,32.1833,
94,Pundaguitan,PH,82.15,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
102,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
107,Gizo,SB,84.2,overcast clouds,-8.103,156.8419,Imagination Island
109,Esperance,AU,75.04,broken clouds,-33.8667,121.9,Hospitality Esperance
116,Tautira,PF,80.92,scattered clouds,-17.7333,-149.15,Pension Oaoa
120,Cozumel,MX,78.01,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
122,Bandarbeyla,SO,84.11,broken clouds,9.4942,50.8122,JABIR HOTEL
123,Sao Jose Da Coroa Grande,BR,79.34,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
136,Puerto Escondido,MX,81.79,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
140,Intipuca,SV,80.37,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
144,Victoria,HK,75.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
147,Gigmoto,PH,84.24,broken clouds,13.7796,124.39,Cj's Travellers Inn
149,Hobyo,SO,82.65,broken clouds,5.3505,48.5268,Iftin hotel hobyo
152,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
157,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
167,Tura,IN,81.75,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
171,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
182,Bengkulu,ID,84.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
188,Salvador,SV,77.4,overcast clouds,13.8333,-88.9167,Chico's Ranch
190,Kerema,PG,84.49,overcast clouds,-7.9631,145.7785,Frena Lodge
193,Port-Gentil,GA,80.06,overcast clouds,-0.7193,8.7815,Fengshui Residence
200,Codrington,AU,76.14,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
207,Panama City,PA,80.55,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
209,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
217,Dovers,VC,79.18,scattered clouds,12.8833,-61.1833,Ocean Breeze
