City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,San Policarpo,PH,12.1791,125.5072,83.44,68,63,6.71,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,77.76,71,1,14.12,clear sky
2,Lebu,CL,-37.6167,-73.65,51.58,92,8,11.79,clear sky
3,Yellowknife,CA,62.456,-114.3525,16.32,53,75,5.75,broken clouds
4,Carnarvon,AU,-24.8667,113.6333,95.07,28,71,8.05,broken clouds
5,Bluff,NZ,-46.6,168.3333,54.81,66,31,30.33,scattered clouds
6,Kruisfontein,ZA,-34.0033,24.7314,53.31,80,67,4.38,broken clouds
7,Kismayo,SO,-0.3582,42.5454,82.11,79,85,6.46,overcast clouds
8,Avarua,CK,-21.2078,-159.775,82.45,78,27,3.44,scattered clouds
9,Clyde River,CA,70.4692,-68.5914,-16.37,76,75,4.61,light snow
10,Hilo,US,19.7297,-155.09,79.29,90,75,8.05,broken clouds
11,Cape Town,ZA,-33.9258,18.4232,58.91,67,0,14.0,clear sky
12,Port Blair,IN,11.6667,92.75,87.84,62,20,3.44,few clouds
13,Mataura,NZ,-46.1927,168.8643,54.48,60,27,12.37,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,42.46,70,75,31.07,broken clouds
15,Blackfoot,US,43.1905,-112.345,40.01,64,74,4.5,broken clouds
16,Mandali,IQ,33.7499,45.5541,67.55,17,1,7.74,clear sky
17,Ahipara,NZ,-35.1667,173.1667,68.7,66,100,4.25,overcast clouds
18,Kodiak,US,57.79,-152.4072,38.71,87,100,18.41,light rain
19,Kapaa,US,22.0752,-159.319,80.58,85,75,19.57,light rain
20,Suna,RU,57.8338,50.0588,25.75,93,95,9.62,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,58.19,64,99,11.56,overcast clouds
22,Tiksi,RU,71.6872,128.8694,3.0,91,98,3.47,overcast clouds
23,Havoysund,NO,70.9963,24.6622,37.63,78,100,15.66,overcast clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,0,7.0,clear sky
25,Hithadhoo,MV,-0.6,73.0833,82.74,69,40,3.33,scattered clouds
26,Provideniya,RU,64.3833,-173.3,32.65,95,100,22.1,light snow
27,New Glasgow,CA,45.5834,-62.6486,38.98,96,100,8.81,overcast clouds
28,Port Lincoln,AU,-34.7333,135.8667,74.35,55,6,9.69,clear sky
29,Hasaki,JP,35.7333,140.8333,57.6,80,100,23.31,overcast clouds
30,Banes,CU,20.9625,-75.7186,75.88,83,33,9.06,scattered clouds
31,Ponta Do Sol,PT,32.6667,-17.1,66.7,56,96,4.99,overcast clouds
32,Busselton,AU,-33.65,115.3333,72.66,52,65,12.93,broken clouds
33,Atuona,PF,-9.8,-139.0333,78.91,78,21,15.95,light rain
34,Pulandian,CN,39.3953,121.9669,66.74,14,0,13.04,clear sky
35,New Norfolk,AU,-42.7826,147.0587,65.66,50,96,1.01,overcast clouds
36,Seredka,RU,58.1584,28.1858,35.35,85,100,12.73,overcast clouds
37,Albany,US,42.6001,-73.9662,58.26,37,78,1.01,broken clouds
38,Chifeng,CN,42.2683,118.9636,61.02,13,4,16.08,clear sky
39,Plettenberg Bay,ZA,-34.0527,23.3716,57.4,78,96,6.35,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,13.8,clear sky
41,Kysyl-Syr,RU,63.8986,122.7617,23.4,83,100,8.16,overcast clouds
42,Tasiilaq,GL,65.6145,-37.6368,37.56,97,100,10.25,light rain
43,Boyolangu,ID,-8.1181,111.8935,86.59,66,74,5.06,broken clouds
44,Vaini,TO,-21.2,-175.2,84.36,65,75,8.05,broken clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,75.38,91,60,6.58,broken clouds
46,Upernavik,GL,72.7868,-56.1549,-18.38,98,32,6.2,scattered clouds
47,Maumere,ID,-8.6199,122.2111,85.42,70,45,2.04,scattered clouds
48,Northam,GB,51.0333,-4.2167,51.62,93,64,4.27,broken clouds
49,Rassvet,RU,46.8333,40.75,44.08,100,22,1.79,few clouds
50,Punta De Bombon,PE,-17.1717,-71.7931,66.6,79,100,9.17,overcast clouds
51,Peleduy,RU,59.6289,112.7406,29.5,69,100,3.85,overcast clouds
52,Alekseyevsk,RU,57.8406,108.3492,40.46,67,96,2.26,overcast clouds
53,Merauke,ID,-8.4667,140.3333,88.34,61,67,2.82,broken clouds
54,Corrente,BR,-3.7367,-43.3394,72.93,99,100,1.99,overcast clouds
55,Georgetown,MY,5.4112,100.3354,87.75,74,20,5.01,few clouds
56,Kandrian,PG,-6.2167,149.55,84.43,74,80,5.95,light rain
57,Rocha,UY,-34.4833,-54.3333,53.89,85,3,1.21,clear sky
58,Manzanillo,CU,20.3433,-77.1167,73.56,88,95,6.62,light rain
59,Waipawa,NZ,-41.4122,175.5153,60.96,64,0,11.21,clear sky
60,Kavieng,PG,-2.5744,150.7967,83.93,73,26,6.55,scattered clouds
61,Airai,TL,-8.9266,125.4092,71.83,75,55,1.59,broken clouds
