City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iranshahr,27.2025,60.6848,71.94,10,0,4.61,IR,2022-04-13 00:31:40
1,Cidreira,-30.1811,-50.2056,70.11,91,33,8.5,BR,2022-04-13 00:31:40
2,Mar Del Plata,-38.0023,-57.5575,56.08,79,0,8.05,AR,2022-04-13 00:27:38
3,Havelock,34.8791,-76.9013,69.98,81,41,7.0,US,2022-04-13 00:31:41
4,Srednekolymsk,67.45,153.6833,10.08,81,6,4.27,RU,2022-04-13 00:31:41
5,Bloemfontein,-29.1211,26.214,45.88,100,19,3.44,ZA,2022-04-13 00:30:23
6,Butaritari,3.0707,172.7902,81.63,77,32,15.52,KI,2022-04-13 00:31:42
7,Narwar,25.65,77.9,82.94,15,3,7.43,IN,2022-04-13 00:31:42
8,Puerto Ayora,-0.7393,-90.3518,77.0,86,100,5.99,EC,2022-04-13 00:31:16
9,Pochutla,15.7432,-96.4661,85.82,69,100,7.63,MX,2022-04-13 00:31:43
10,Pangkalanbuun,-2.6833,111.6167,80.91,80,100,1.45,ID,2022-04-13 00:31:43
11,Neuquen,-38.9516,-68.0591,55.29,47,0,4.61,AR,2022-04-13 00:30:33
12,Severo-Kurilsk,50.6789,156.125,31.15,87,100,6.17,RU,2022-04-13 00:31:44
13,Saskylakh,71.9167,114.0833,-4.5,97,81,4.81,RU,2022-04-13 00:31:45
14,Christchurch,-43.5333,172.6333,62.42,67,75,6.91,NZ,2022-04-13 00:31:45
15,Ushuaia,-54.8,-68.3,40.62,81,20,31.07,AR,2022-04-13 00:30:23
16,Rikitea,-23.1203,-134.9692,79.18,70,19,19.04,PF,2022-04-13 00:31:46
17,Buraydah,26.326,43.975,75.65,18,73,10.45,SA,2022-04-13 00:28:13
18,Fomboni,-12.28,43.7425,82.31,72,100,3.56,KM,2022-04-13 00:31:46
19,Ponta Do Sol,32.6667,-17.1,65.01,74,92,3.51,PT,2022-04-13 00:31:47
20,Mataura,-46.1927,168.8643,57.83,50,31,3.27,NZ,2022-04-13 00:31:47
21,Souillac,-20.5167,57.5167,77.38,88,40,14.97,MU,2022-04-13 00:31:48
22,Tawala,9.5542,123.7696,79.72,74,100,9.08,PH,2022-04-13 00:31:48
23,Albany,42.6001,-73.9662,59.41,38,100,5.41,US,2022-04-13 00:30:36
24,Port Elizabeth,-33.918,25.5701,64.69,97,0,3.44,ZA,2022-04-13 00:31:49
25,Spring Hill,28.4769,-82.5255,77.11,69,75,5.75,US,2022-04-13 00:30:47
26,Yellowknife,62.456,-114.3525,14.41,58,0,9.22,CA,2022-04-13 00:31:50
27,Tasiilaq,65.6145,-37.6368,24.96,83,100,6.46,GL,2022-04-13 00:31:50
28,Berlevag,70.8578,29.0864,28.2,74,100,14.12,NO,2022-04-13 00:28:49
29,Avera,33.194,-82.5271,73.54,70,100,6.2,US,2022-04-13 00:31:51
30,Korla,41.7597,86.1469,56.91,21,100,11.65,CN,2022-04-13 00:31:51
31,Saint-Philippe,-21.3585,55.7679,76.59,86,100,15.95,RE,2022-04-13 00:31:51
32,Sibolga,1.7427,98.7792,79.36,79,16,1.68,ID,2022-04-13 00:31:52
33,Mut,36.6439,33.4389,45.27,51,0,10.6,TR,2022-04-13 00:31:53
34,Arraial Do Cabo,-22.9661,-42.0278,77.07,86,51,19.26,BR,2022-04-13 00:31:53
35,Bambous Virieux,-20.3428,57.7575,78.22,88,40,14.97,MU,2022-04-13 00:31:54
36,Chuy,-33.6971,-53.4616,58.68,76,5,4.85,UY,2022-04-13 00:31:54
37,Kerema,-7.9631,145.7785,86.47,68,100,6.91,PG,2022-04-13 00:31:55
38,Saint Anthony,45.0205,-93.218,51.4,69,100,16.11,US,2022-04-13 00:30:08
39,Cherskiy,68.75,161.3,6.8,68,100,1.54,RU,2022-04-13 00:31:55
40,Cape Town,-33.9258,18.4232,60.89,93,75,4.61,ZA,2022-04-13 00:31:56
41,Sao Joao Da Barra,-21.6403,-41.0511,76.62,85,20,9.93,BR,2022-04-13 00:31:56
42,Leningradskiy,69.3833,178.4167,1.96,82,72,13.89,RU,2022-04-13 00:31:57
43,Marsh Harbour,26.5412,-77.0636,73.85,63,3,17.67,BS,2022-04-13 00:31:57
44,Bluff,-46.6,168.3333,55.69,55,36,9.46,NZ,2022-04-13 00:31:58
45,Sitka,57.0531,-135.33,46.29,31,0,9.22,US,2022-04-13 00:30:21
46,Airai,-8.9266,125.4092,69.17,64,100,2.35,TL,2022-04-13 00:31:59
47,Fairbanks,64.8378,-147.7164,44.1,34,20,6.91,US,2022-04-13 00:30:53
48,Hobart,-42.8794,147.3294,67.05,57,20,12.66,AU,2022-04-13 00:30:40
49,Luau,-10.7073,22.2247,63.39,92,14,3.67,AO,2022-04-13 00:33:00
50,Manicore,-5.8092,-61.3003,74.25,98,100,2.82,BR,2022-04-13 00:33:00
51,Venezuela,8.0,-66.0,94.06,30,100,15.82,VE,2022-04-13 00:33:00
52,Busselton,-33.65,115.3333,63.23,63,0,11.07,AU,2022-04-13 00:33:01
53,Kapaa,22.0752,-159.319,82.38,77,40,14.97,US,2022-04-13 00:33:01
54,Ostrovnoy,68.0531,39.5131,14.92,94,74,7.99,RU,2022-04-13 00:30:19
55,New Norfolk,-42.7826,147.0587,66.7,42,15,4.76,AU,2022-04-13 00:33:02
56,Anchorage,61.2181,-149.9003,52.68,42,0,5.75,US,2022-04-13 00:33:03
57,Atuona,-9.8,-139.0333,79.34,77,12,15.84,PF,2022-04-13 00:33:03
58,Hithadhoo,-0.6,73.0833,83.28,70,5,13.8,MV,2022-04-13 00:33:04
